Year,Month,Price,Difference
2018,6,13988.73335195238,-0.005860973949180406
2018,7,14407.459073181817,0.029933069041665334
2018,8,14551.12606147826,0.00997170892984638
2018,9,14864.539990250001,0.02153880926105459
2018,10,15215.069548260868,0.02358159473759614
2018,11,14706.372736181818,-0.0334337487229689
2018,12,14525.519019714286,-0.012297642641858354
2019,1,14182.652216391303,-0.02360444421005801
2019,2,14027.03500975,-0.01097236287451598
2019,3,14213.799990714286,0.013314644244807862
2019,4,14145.931818181818,-0.004774808466195193
2019,5,14387.61363640909,0.01708489913097405
2019,6,14248.325,-0.009681149350341754
2019,7,14073.091329826088,-0.0122985452798075
2019,8,14256.913574272727,0.013061966282919788
2019,9,14131.795201,-0.008775978939684946
2019,10,14135.517408304348,0.0002633923893889537
2019,11,14019.369419619048,-0.008216748303607527
2019,12,13989.823109045456,-0.0021075349175295097
2020,1,13679.38221804348,-0.02219048007842591
2020,2,13758.868310650001,0.005810649292456852
2020,3,15119.26509231818,0.09887417707277346
2020,4,15782.95166018182,0.04389674787836385
2020,5,14885.244233666666,-0.056878297915588474
2020,6,14184.57621631818,-0.04707131481012259
2020,7,14516.470660695652,0.023398262966478598
2020,8,14641.914109,0.008641456400555726
2020,9,14803.133700227272,0.01101082754803044
2020,10,14717.467152045456,-0.005787054951783695
2020,11,14187.217633952381,-0.036028585123723526
2020,12,14101.688688826087,-0.0060285918869397775
2021,1,14015.519391809523,-0.006110565827824792
2021,2,13999.60893555,-0.001135202757367662
2021,3,14379.493249,0.02713535179438739
2021,4,14561.077281545453,0.012627985520844535
2021,5,14333.952334476191,-0.015598086781471694
2021,6,14364.231800409092,0.0021124296513859997
2021,7,14543.386363545455,0.01247226900997658
2021,8,14406.072709454545,-0.009441656204300555
2021,9,14270.022771636362,-0.009443929692850638
2021,10,14194.085704952382,-0.005321439769172326
2021,11,14285.522771636362,0.0064419131027282465
2021,12,14323.856572739129,0.0026834020508425035
2022,1,14339.842866428571,0.0011160607206768028
2022,2,14352.955029300001,0.0009143867888627457
2022,3,14343.604364826086,-0.0006514800927632735
2022,4,14382.047665571428,0.0026801701836962765
2022,5,14571.081809272728,0.0131437572796967
2022,6,14681.7908825,0.007597862305379337
2022,7,14980.676153238095,0.020357548553177715
2022,8,14825.069590608695,-0.010387152157732593
2022,9,14973.404474409092,0.010005678752048698
2022,10,15409.561941904762,0.029128810902096635
2022,11,15649.072709500002,0.015542996517241338
2022,12,15576.140935772728,-0.004660453375170257
2023,1,15253.118208545453,-0.020738302802936853
2023,2,15137.8450195,-0.007557352370144975
2023,3,15287.443444260869,0.009882412230285187
2023,4,14885.25,-0.02630874454105394
2023,5,14818.75653873913,-0.004467070506768135
2023,6,14935.613636363636,0.007885755955232755
2023,7,15044.07617190476,0.007262007319006396
2023,8,15251.617399782608,0.013795544871371815
2023,9,15361.919038285714,0.007232127295868188
2023,10,15734.050026636365,0.024224251372709896
2023,11,15558.590864681819,-0.011151557396697567
2023,12,15460.961960619046,-0.006274919426308157
2024,1,15597.17387052174,0.00881005400890588
2024,2,15656.261858190477,0.003788377827884094
2024,3,15699.338076666665,0.002751373148096196
2024,4,16078.068181818182,0.024123953717157618
2024,5,16072.49233776923,-0.0003467981343217038
