Year;Month;2 Error;3 Error;4 Error;5 Error;AR 2 Error;AR 3 Error;AR 4 Error;AR 5 Error
2019;11;0.0200255563515179;-0.0136434415617784;-0.0598359394145182;-0.0302994946074794;-0.0012073873449560749;-0.006674684592959776;-0.040489044149834195;-0.019592546339202738
2019;12;0.017110825675876;-0.0287293202156411;-0.0774319623252215;-0.0488531915335239;0.009327478083770262;-0.017590723903439923;-0.051007873627984535;-0.030033241934211138
2020;1;-0.0135198889909099;-0.0276826452916931;-0.0348896588671697;-0.0403887710596613;0.008747055323136545;-0.029415046570250188;-0.06665419193568216;-0.04541875760115796
2020;2;0.0405052860509521;0.01730705425462;0.0065852615101528;0.0065093318898364;-0.01632559889655825;-0.02896470586270261;-0.03277526157799583;-0.037264946089478
2020;4;0.2013531496038003;0.2124692166775247;0.192781277821743;0.1993755118894333;0.022315719665625545;0.004361521045121464;0.003584171187418184;0.0016424070327657383
2020;6;0.1623576820278578;0.1824721504446137;0.1570165861196173;0.1469329194866079;0.15330954101619804;0.14882443985363183;0.1472693179552435;0.15660239108423432
2020;7;0.1351569894325238;0.1561395915611882;0.1414457369245375;0.1214078015585614;0.13421799344673305;0.13597881184393026;0.1246217684243996;0.1050071364081272
2020;8;0.1316634042969762;0.1525845308189276;0.1475351190794761;0.1151915499064959;0.09544056635550412;0.10847315824641317;0.0922836244965487;0.07538463097319184
2020;11;0.1578832816012338;0.2048610473372489;0.1812780952649031;0.1436419249046223;0.09358638745615935;0.10549559596850362;0.09978366802039805;0.07403997614555274
2020;12;0.1562710890538348;0.1937089163827865;0.1607547091038048;0.1203561294053583;0.11571395120561699;0.14426486662240226;0.1280428739134871;0.09879844559872616
2021;1;-0.054830953688386;-0.0579351490308526;-0.0696838736723493;-0.0768336167973152;0.1173182565414031;0.13909203873799544;0.11308567205844619;0.07925210870952983
2021;2;-0.0310386756174791;-0.0181791292250662;-0.0322023625680694;-0.0399144440509121;-0.04668322914665807;-0.046495069937512346;-0.0716870058487647;-0.08202699808343042
2021;3;0.0091306167182282;0.0128472398543597;0.0008825000319488;-0.00733393443285;-0.0487007250324953;-0.03076010546327276;-0.052000783890391346;-0.044217947458470463
2021;4;-0.0318969977777908;-0.0019070820504287;0.0232093973885144;0.0180825071377653;0.002970542708412834;0.0026333526968198677;-0.001507282882978512;-0.008105750606466094
2021;5;0.0582928063051741;0.0374927871352053;0.0592940104731193;0.038727586893656;-0.0266485074886235;-0.007799891767941539;0.013958280668288683;0.009484193745317882
2021;6;0.0012950685860472;0.0040368503835668;0.0326525085317886;0.0214116645940222;0.03485811666588096;0.019016868121432752;0.0400824444501498;0.023664382026660557
2021;7;0.0882567864565097;0.0812939224376214;0.10829395648683;0.1043458523555689;0.003567872218512037;-0.0027020732772828782;0.018855116286288366;0.007499229498248217
2021;8;0.0470831941054252;0.0569733714814523;0.0836361667309972;0.0872258638803824;0.056647207919291835;0.05037492185035096;0.0731710462531463;0.07443390361633612
2021;9;-4.320674833002691e-05;0.0207765421969722;0.055751674615276;0.0625894332187669;0.038563937847428134;0.03799417154623527;0.06032359006379271;0.05872227768470857
2021;10;-0.1011188147819216;-0.0908628513719929;-0.0366354979605462;-0.0259722189765607;-0.009146555448870716;0.007672195468715981;0.029794609861819525;0.034688040535285736
2021;11;-0.0660748444463384;-0.0565746615969675;-0.0081843971615201;-0.0168077064525346;-0.08739838883244781;-0.07471401770735503;-0.04152018328081866;-0.03564009856303259
2021;12;-0.0146563090780532;-0.0016264326749312;0.0394745285762687;0.0227966085722228;-0.06617329152929016;-0.05453680463590137;-0.021182346170857333;-0.023918127281107624
2022;1;-0.0538912563538487;-0.0659842806276499;-0.0728816732751985;-0.0851774104399384;-0.014523687479813505;-0.008843044688937898;0.02666922860992376;0.012868059357552437
2022;2;-0.0995526010611712;-0.0976537248433069;-0.0905956213504537;-0.1027231644861095;-0.04267927273120705;-0.053905420777175625;-0.06168038046399259;-0.0768128524460563
2022;3;-0.1105209537021423;-0.1059556453430281;-0.101956127132569;-0.1098590786781805;-0.08594341937432794;-0.08232599305265906;-0.08593603836725089;-0.08971272359855446
2022;4;-0.2216623562403055;-0.174855763865685;-0.1550214102183126;-0.1350235807696793;-0.09527690425388953;-0.08786468673554731;-0.08466393507997036;-0.08902393030206529
2022;5;-0.0878057935851074;-0.0586593904325203;-0.0628106021616372;-0.0433352857302679;-0.17734642739259351;-0.13737928390641557;-0.1250400403294896;-0.10830777106063627
2022;6;-0.1407755987817278;-0.0878114175735272;-0.0856471588432168;-0.0625527898054609;-0.08467564129838437;-0.056228563195332676;-0.05441916120088554;-0.0324673131571859
2022;7;-0.1037683203191441;-0.0405250940894406;-0.0383925098988975;-0.0127277865376495;-0.10248051256577612;-0.06880371998710152;-0.06239900853782793;-0.049743663477216676
2022;8;-0.1555039954998655;-0.1087140837379827;-0.0973728511971769;-0.0731939464234684;-0.09109225706873265;-0.03995474083895875;-0.03564106997463568;-0.01358750561433328
2022;9;-0.2327822366720477;-0.1803114559995163;-0.1647002448529005;-0.1356813118084088;-0.12243220748336284;-0.08603639141268203;-0.07717292733418676;-0.06338375783155735
2022;10;-0.196175097749518;-0.1508931492630697;-0.1516277446041166;-0.112789004443559;-0.18982245257542327;-0.14346591579212153;-0.13752585234800035;-0.11498270171105981
2022;11;-0.1975325906398397;-0.1606673956051704;-0.159048495505337;-0.1231650170368275;-0.16469852169749277;-0.12357032428935362;-0.12489573623607234;-0.09098148814572976
2022;12;-0.1572333870462924;-0.1141006804095839;-0.1055496321970802;-0.0727501848298668;-0.1553824239643624;-0.12663274114377607;-0.12341300295244308;-0.09675333411984859
2023;1;0.038446596638817;0.0172342481539473;0.0036735419191091;-0.0051435862303123;-0.12790951098197764;-0.09427455451920949;-0.08319225432777748;-0.05663637142724062
2023;2;-0.0051240925256189;-0.0330118560172394;-0.0398837489422722;-0.0391199523901549;0.02582827749070522;0.0041825579440163164;0.00576042239758735;-0.002703184351144322
2023;3;0.0078702537898208;0.0078702537898208;-0.0075063662544601;-0.0133363647085348;0.007808088939018001;-0.026904589575203298;-0.028073048211343328;-0.03534262138110895
2023;4;-0.0644734254584459;-0.1354527802784042;-0.1188196990174641;-0.1116950042928506;-0.0037298212019331273;-0.004377747037098111;-0.015687886302757668;-0.016947241048328968
2023;5;-0.0834623226555406;-0.0834623226555406;-0.0786656861513337;-0.0866673774842148;-0.05398503075589435;-0.10477350135209423;-0.09690468857796258;-0.0959829310342139
2023;6;-0.1000829702489443;-0.1495959711213167;-0.1216041351136436;-0.1242632990080716;-0.07664133420719933;-0.07607361489532873;-0.07429800492433344;-0.07379250192450985
2023;7;-0.138598532613087;-0.158095936962293;-0.1193108773166106;-0.1196310646686481;-0.08480337945483106;-0.11647566612147281;-0.09491805838002156;-0.09982128033669346
2023;8;-0.0854362170106186;-0.1190541074397292;-0.0969203399099726;-0.0932830580642272;-0.11420146112959459;-0.1280239904847863;-0.0992529128895548;-0.09618686286210962
2023;9;-0.0247410378130253;-0.0897878698440756;-0.0698333040623478;-0.066359907945031;-0.07577087556676729;-0.09778620764346511;-0.0773789425606836;-0.07283447725078886
2023;10;0.0454725758546006;-0.0435705196075171;-0.0259569830551407;-0.0340893167911316;-0.020798838982173926;-0.07408078365917882;-0.05526361126689843;-0.05204325629371401
2023;11;0.0787909740281082;0.0054113299220207;0.0165991769780361;0.0098609272776443;0.03408848685522154;-0.040199834324268824;-0.021744993528544712;-0.028109380310842053
2023;12;0.0425942059684907;-0.0100631482169298;0.0091835995067437;0.0103194040562675;0.06099750154049836;-0.003054604398140346;0.011128502233844819;0.005122718843488307
2024;1;-0.0035378159864246;-0.0044876277554699;-0.0171930060658873;-0.0271798586460605;0.03031521959809959;-0.013264821930928414;0.0031590649929781178;0.0022812320019001495
2024;2;0.0068597636035185;-0.0132345704253313;-0.0345774007545149;-0.041725507895403;-0.011417827805171955;-0.011727538841370146;-0.022057549135470707;-0.030662523434548842
2024;3;-0.0230423572914175;-0.0493608867519831;-0.0493608867519831;-0.0602374973027086;-0.0047162117978502595;-0.017261253417304518;-0.036274320069285694;-0.041292498542954664
2024;4;0.0295556703097725;-0.019587675270091;-0.0781949768399302;-0.0716611508450983;-0.022520387843886224;-0.04422385378827266;-0.04613197138049238;-0.053824517148768014
2024;5;0.0110733767963826;-0.024788458709151;-0.024788458709151;-0.0281461748856243;0.013923781904839023;-0.02420016057350476;-0.06774347117855478;-0.061715529359482005
