Year;Month;AR 2 Error;AR 3 Error;AR 4 Error;AR 5 Error
2021;3;-0.0487007250324953;-0.03076010546327276;-0.052000783890391346;-0.044217947458470463
2021;4;0.002970542708412834;0.0026333526968198677;-0.001507282882978512;-0.008105750606466094
2021;5;-0.0266485074886235;-0.007799891767941539;0.013958280668288683;0.009484193745317882
2021;6;0.03485811666588096;0.019016868121432752;0.0400824444501498;0.023664382026660557
2021;7;0.003567872218512037;-0.0027020732772828782;0.018855116286288366;0.007499229498248217
2021;8;0.056647207919291835;0.05037492185035096;0.0731710462531463;0.07443390361633612
2021;9;0.038563937847428134;0.03799417154623527;0.06032359006379271;0.05872227768470857
2021;10;-0.009146555448870716;0.007672195468715981;0.029794609861819525;0.034688040535285736
2021;11;-0.08739838883244781;-0.07471401770735503;-0.04152018328081866;-0.03564009856303259
2021;12;-0.06617329152929016;-0.05453680463590137;-0.021182346170857333;-0.023918127281107624
2022;1;-0.014523687479813505;-0.008843044688937898;0.02666922860992376;0.012868059357552437
2022;2;-0.04267927273120705;-0.053905420777175625;-0.06168038046399259;-0.0768128524460563
2022;3;-0.08594341937432794;-0.08232599305265906;-0.08593603836725089;-0.08971272359855446
2022;4;-0.09527690425388953;-0.08786468673554731;-0.08466393507997036;-0.08902393030206529
2022;5;-0.17734642739259351;-0.13737928390641557;-0.1250400403294896;-0.10830777106063627
2022;6;-0.08467564129838437;-0.056228563195332676;-0.05441916120088554;-0.0324673131571859
2022;7;-0.10248051256577612;-0.06880371998710152;-0.06239900853782793;-0.049743663477216676
2022;8;-0.09109225706873265;-0.03995474083895875;-0.03564106997463568;-0.01358750561433328
2022;9;-0.12243220748336284;-0.08603639141268203;-0.07717292733418676;-0.06338375783155735
2022;10;-0.18982245257542327;-0.14346591579212153;-0.13752585234800035;-0.11498270171105981
2022;11;-0.16469852169749277;-0.12357032428935362;-0.12489573623607234;-0.09098148814572976
2022;12;-0.1553824239643624;-0.12663274114377607;-0.12341300295244308;-0.09675333411984859
2023;1;-0.12790951098197764;-0.09427455451920949;-0.08319225432777748;-0.05663637142724062
2023;2;0.02582827749070522;0.0041825579440163164;0.00576042239758735;-0.002703184351144322
2023;3;0.007808088939018001;-0.026904589575203298;-0.028073048211343328;-0.03534262138110895
2023;4;-0.0037298212019331273;-0.004377747037098111;-0.015687886302757668;-0.016947241048328968
2023;5;-0.05398503075589435;-0.10477350135209423;-0.09690468857796258;-0.0959829310342139
2023;6;-0.07664133420719933;-0.07607361489532873;-0.07429800492433344;-0.07379250192450985
2023;7;-0.08480337945483106;-0.11647566612147281;-0.09491805838002156;-0.09982128033669346
2023;8;-0.11420146112959459;-0.1280239904847863;-0.0992529128895548;-0.09618686286210962
2023;9;-0.07577087556676729;-0.09778620764346511;-0.0773789425606836;-0.07283447725078886
2023;10;-0.020798838982173926;-0.07408078365917882;-0.05526361126689843;-0.05204325629371401
2023;11;0.03408848685522154;-0.040199834324268824;-0.021744993528544712;-0.028109380310842053
2023;12;0.06099750154049836;-0.003054604398140346;0.011128502233844819;0.005122718843488307
2024;1;0.03031521959809959;-0.013264821930928414;0.0031590649929781178;0.0022812320019001495
2024;2;-0.011417827805171955;-0.011727538841370146;-0.022057549135470707;-0.030662523434548842
2024;3;-0.0047162117978502595;-0.017261253417304518;-0.036274320069285694;-0.041292498542954664
2024;4;-0.022520387843886224;-0.04422385378827266;-0.04613197138049238;-0.053824517148768014
2024;5;0.013923781904839023;-0.02420016057350476;-0.06774347117855478;-0.061715529359482005
