Year;Month;Progress;2 Mean;3 Mean;4 Mean;5 Mean;AR 2 Mean;AR 3 Mean;AR 4 Mean;AR 5 Mean;AR 2 Mean Error;AR 3 Mean Error;AR 4 Mean Error;AR 5 Mean Error
2018;11;0.9457715214986678;1.026188543661009;0.955663321839318;0.991965640326826;0.9739770173222;0.9224785030884384;0.9171619866078787;0.926556394181636;0.9139525515841316;-0.02329301841022946;-0.0286095348907891;-0.019215127317031788;-0.031818969914536255
2018;12;0.9929525709850612;1.0279504212967023;0.959124915115968;0.9969626070974084;0.968286849305074;0.9641617884105689;0.9555266488058429;0.9649135893184215;0.9558354181129286;-0.028790782574492302;-0.03742592217921825;-0.02803898166663965;-0.037117152872132575
2019;1;0.8634822447751865;0.839685468792067;0.8327202035784448;0.8277689409126266;0.8272405136671589;0.8235236719971851;0.866769467470986;0.838966080564296;0.8604778254753154;-0.03995857277800141;0.0032872226957995077;-0.024516164210890534;-0.003004419299871164
2019;2;0.883936271361287;0.8674649198185517;0.8549993463306772;0.8567129921196948;0.8581837528660625;0.8952608792569751;0.8872910401371898;0.89644652204394;0.8960764575097603;0.01132460789568801;0.0033547687759027944;0.01251025068265299;0.012140186148473231
2019;3;0.8844671432977843;0.8720949682683654;0.86251440842968;0.8698883968083257;0.8734306446549469;0.895947338731425;0.8918072766710233;0.9008343750904646;0.8995073349149258;0.01148019543364065;0.007340133373239022;0.016367231792680292;0.01504019161714154
2019;4;0.8954504602904942;0.9014177332812668;0.8745041178079164;0.8840560567976904;0.8929145826442987;0.9162355243647253;0.8987197526743448;0.900760725491214;0.9067248196117035;0.020785064074231085;0.0032692923838505417;0.005310265200719755;0.011274359321209237
2019;5;0.9000541633011083;0.9015559695530262;0.8739672040857509;0.8710204694883937;0.8854777600727642;0.9025921476769327;0.8971358788047544;0.8854273148191905;0.8934287014270145;0.0025379843758244203;-0.0029182844963538956;-0.014626848481917865;-0.006625461874093852
2019;6;0.9445476643708984;0.9017658713746626;0.8725786514964712;0.8644721315098611;0.8780715692112044;0.9048116464108714;0.8996754900132445;0.8937724820787502;0.8969081785740053;-0.039736017960027015;-0.04487217435765389;-0.05077518229214828;-0.047639485796893144
2019;7;0.9825072159777324;0.9255140323978026;0.9122548021689272;0.8915981588245072;0.9058068188563142;0.9644947642647347;0.9730639791319408;0.9620665871132641;0.9669526376847273;-0.0180124517129977;-0.009443236845791625;-0.02044062886446829;-0.015554578293005106
2019;8;0.9690285789324892;0.9642490986950094;0.958047603068794;0.91830445259405;0.932572687905618;1.0179818872802022;1.019908006506284;0.9981043068493463;0.9996726631462944;0.048953308347713054;0.05087942757379482;0.029075727916857086;0.030644084213805267
2019;9;0.9703649057303017;0.976998704863008;0.9697966754142908;0.9140603803733875;0.9396381757234892;0.9882396147436964;0.9868383072873433;0.9579224027587686;0.9708031519597033;0.01787470901339472;0.01647340155704169;-0.012442502971533043;0.00043824622940169533
2019;10;0.99244637852449;0.9971428436003704;0.993420536299888;0.947482234884648;0.9740896625312778;0.993358651396838;0.9997404121978483;0.9926097071696885;1.0013549715705232;0.0009122728723479634;0.007294033673358236;0.00016332864519852386;0.008908593046033197
2019;11;1.0130263111686737;1.0330518675201916;0.9993828696068952;0.9531903717541554;0.9827268165611942;1.0342592548651477;1.0060575541998549;0.9936794159039896;1.0023193629003968;0.021232943696473994;-0.006968756968818823;-0.01934689526468414;-0.010706948268276895
