Year;Month;High;Low;Buy Price;Sell Price;Take Profit
2017;5;3600.0;3555.0;3383.8863625847735;3417.7252262106213;False
2017;5;3565.0;3515.0;3383.8863625847735;3417.7252262106213;False
2017;5;3630.0;3565.0;3383.8863625847735;3417.7252262106213;False
2017;5;3670.0;3570.0;3383.8863625847735;3417.7252262106213;False
2017;5;3615.0;3550.0;3383.8863625847735;3417.7252262106213;False
2017;5;3710.0;3570.0;3383.8863625847735;3417.7252262106213;False
2017;5;3650.0;3600.0;3383.8863625847735;3417.7252262106213;False
2017;5;3590.0;3445.0;3383.8863625847735;3417.7252262106213;False
2017;5;3485.0;3385.0;3383.8863625847735;3417.7252262106213;False
2017;5;3490.0;3360.0;3383.8863625847735;3417.7252262106213;False
2017;5;3615.0;3420.0;3383.8863625847735;3417.7252262106213;True
