Year;Month;AR 2 Mean;AR 3 Mean;AR 4 Mean;AR 5 Mean
2022;11;1.067129247762158;1.0628662453886883;1.0658105574352403;1.0677797878134072
2022;12;1.0709980954627;1.0853811192788223;1.090712429299993;1.096852207834612
2023;1;1.0668469291813865;1.0119996242337486;0.9873566178074786;0.9519836067575203
2023;2;0.9134833290623331;0.9072412851174014;0.8987915277387977;0.9080189310396465
2023;3;0.9227889144916093;0.9575015930058305;0.9432934315976896;0.9447330063133805
2023;4;0.9036273112686256;0.8332958822838323;0.8612391028104319;0.8696231522806167
2023;5;0.9396492845443821;0.990437755140582;0.9873655788706572;0.9784421299940276
2023;6;0.9587346554197776;0.9086539352355346;0.9348701612722123;0.9317054943779608
2023;7;0.9316677611990397;0.9438426435164755;0.9610700954207068;0.965653130025341
2023;8;1.0283128603721678;1.008517499298249;1.0018801892327742;1.0024514210510744
